source_pdf,source_page,source_table_index,category,subcategory,part,radial_size_normalized,cost_full,cost_empty,mass_full_or_value,mass_empty,max_temp_k_full_or_value,max_temp_k_secondary_or_skin,parameters_json,radial_size,cost,mass_t,mass_t_full,mass_t_empty,max_temp_k,tolerance_g,capacity,capacity_electricity,torque_kn_m,s_a_s_level,electricity_electricity_per_s,oxidizer,liquid_fuel,monopropellant,xenon,ore,fuel,fuel_per_s,thrust_kn,thrust_kn_atm,thrust_kn_vac,twr,twr_atm,twr_vac,twr_full_atm,twr_full_vac,twr_empty_atm,twr_empty_vac,isp_s_atm,isp_s_vac,ablator,antenna_rating,brake_torque_knm,crew_capacity,data_size_mits,deflection_range_deg,deflection_surface_part_percent,deployable,dimensions_m_l,dimensions_m_sd,dimensions_m_w_per_e,ejection_impulse_kgf_s,electricity_electricity_per_mit,electricity_per_mass_electricity_per_s_t,experiment_base_science_value,fuel_consumption_per_s,full_deploy_altitude_m,fully_deployed_diameter,intake_air_initial_per_max,intake_area_m2,inventory_slots,isp_s_empty_atm,isp_s_empty_vac,lift,max_altitude_m,max_length_m,max_motor_speed_m_per_s,max_radius_m,net_transmission_speed_mits_per_s,packed_volume_l,panel_cost_per_m2,panel_mass_t_per_m2,relay_capable,required_crew,required_crew_per_power,scanning_mode,scanning_resource,semi_deploy_pressure_atm,semi_deployed_diameter,stacking_capacity,steerable,tolerance_m_per_s,volume_limit_l,xenon_per_s
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,Kerbodyne S3-7200 Tank,Extra large,6500,3195.2,,,2000,,"{""cost"": ""6500 (3195.2)"", ""liquid_fuel"": ""3240"", ""mass_t_empty"": ""4.5"", ""mass_t_full"": ""40.5"", ""max_temp_k"": ""2000"", ""oxidizer"": ""3960"", ""radial_size"": ""Extra large"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""6""}",Extra large,6500 (3195.2),,40.5,4.5,2000,50,,,,,,3960,3240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,Kerbodyne S3-14400 Tank,Extra large,13000,6390.4,,,2000,,"{""cost"": ""13000 (6390.4)"", ""liquid_fuel"": ""6480"", ""mass_t_empty"": ""9"", ""mass_t_full"": ""81"", ""max_temp_k"": ""2000"", ""oxidizer"": ""7920"", ""radial_size"": ""Extra large"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""6""}",Extra large,13000 (6390.4),,81,9,2000,50,,,,,,7920,6480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,Mk2 Rocket Fuel Fuselage Short,Mk2,750,566.4,,,2500,,"{""cost"": ""750 (566.4)"", ""liquid_fuel"": ""180"", ""mass_t_empty"": ""0.29"", ""mass_t_full"": ""2.29"", ""max_temp_k"": ""2500"", ""oxidizer"": ""220"", ""radial_size"": ""Mk2"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}",Mk2,750 (566.4),,2.29,0.29,2500,50,,,,,,220,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,Mk2 Rocket Fuel Fuselage,Mk2,1450,1082.8,,,2500,,"{""cost"": ""1450 (1082.8)"", ""liquid_fuel"": ""360"", ""mass_t_empty"": ""0.57"", ""mass_t_full"": ""4.57"", ""max_temp_k"": ""2500"", ""oxidizer"": ""440"", ""radial_size"": ""Mk2"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}",Mk2,1450 (1082.8),,4.57,0.57,2500,50,,,,,,440,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,Mk3 Rocket Fuel Fuselage Short,Mk3,2500,1352.5,,,2700,,"{""cost"": ""2500 (1352.5)"", ""liquid_fuel"": ""1125"", ""mass_t_empty"": ""1.79"", ""mass_t_full"": ""14.29"", ""max_temp_k"": ""2700"", ""oxidizer"": ""1375"", ""radial_size"": ""Mk3"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}",Mk3,2500 (1352.5),,14.29,1.79,2700,50,,,,,,1375,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,6,2,Fuel Tanks,Rocket fuel tanks,Mk3 Rocket Fuel Fuselage,Mk3,5000,2705,,,2700,,"{""cost"": ""5000 (2705)"", ""liquid_fuel"": ""2250"", ""mass_t_empty"": ""3.57"", ""mass_t_full"": ""28.57"", ""max_temp_k"": ""2700"", ""oxidizer"": ""2750"", ""radial_size"": ""Mk3"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}",Mk3,5000 (2705),,28.57,3.57,2700,50,,,,,,2750,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,7,3,Fuel Tanks,Rocket fuel tanks,Mk3 Rocket Fuel Fuselage Long,Mk3,10000,5410,,,2700,,"{""cost"": ""10000 (5410)"", ""liquid_fuel"": ""4500"", ""mass_t_empty"": ""7.14"", ""mass_t_full"": ""57.14"", ""max_temp_k"": ""2700"", ""oxidizer"": ""5500"", ""radial_size"": ""Mk3"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}",Mk3,10000 (5410),,57.14,7.14,2700,50,,,,,,5500,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,7,3,Fuel Tanks,Rocket fuel tanks,C7 Brand Adapter - 2.5m to 1.25m,"Small, Large",800,433.0,,,2300,,"{""cost"": ""800 (433.0)"", ""liquid_fuel"": ""360"", ""mass_t_empty"": ""0.57"", ""mass_t_full"": ""4.57"", ""max_temp_k"": ""2300"", ""oxidizer"": ""440"", ""radial_size"": ""Small, Large"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""20""}","Small, Large",800 (433.0),,4.57,0.57,2300,50,,,,,,440,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,
Parts - Kerbal Space Program Wiki.pdf,7,3,Fuel Tanks,Rocket fuel tanks,C7 Brand Adapter Slanted - 2.5m to 1.25m,"Small, Large",800,433.0,,,2300,,"{""cost"": ""800 (433.0)"", ""liquid_fuel"": ""360"", ""mass_t_empty"": ""0.57"", ""mass_t_full"": ""4.57"", ""max_temp_k"": ""2300"", ""oxidizer"": ""440"", ""radial_size"": ""Small, Large"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""20""}","Small, Large",800 (433.0),,4.57,0.57,2300,50,,,,,,440,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,
Parts - Kerbal Space Program Wiki.pdf,7,3,Fuel Tanks,Rocket fuel tanks,Mk2 to 1.25m Adapter,"Small, Mk2",550,366.4,,,2500,,"{""cost"": ""550 (366.4)"", ""liquid_fuel"": ""180"", ""mass_t_empty"": ""0.29"", ""mass_t_full"": ""2.29"", ""max_temp_k"": ""2500"", ""oxidizer"": ""220"", ""radial_size"": ""Small, Mk2"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}","Small, Mk2",550 (366.4),,2.29,0.29,2500,50,,,,,,220,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,7,3,Fuel Tanks,Rocket fuel tanks,Mk2 to 1.25m Adapter Long,"Small, Mk2",1050,682.8,,,2500,,"{""cost"": ""1050 (682.8)"", ""liquid_fuel"": ""360"", ""mass_t_empty"": ""0.57"", ""mass_t_full"": ""4.57"", ""max_temp_k"": ""2500"", ""oxidizer"": ""440"", ""radial_size"": ""Small, Mk2"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}","Small, Mk2",1050 (682.8),,4.57,0.57,2500,50,,,,,,440,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,7,3,Fuel Tanks,Rocket fuel tanks,Mk2 Bicoupler,"Small, Mk2 x 2",860,676.4,,,2500,,"{""cost"": ""860 (676.4)"", ""liquid_fuel"": ""180"", ""mass_t_empty"": ""0.29"", ""mass_t_full"": ""2.29"", ""max_temp_k"": ""2500"", ""oxidizer"": ""220"", ""radial_size"": ""Small, Mk2 x 2"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}","Small, Mk2 x 2",860 (676.4),,2.29,0.29,2500,50,,,,,,220,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,7,3,Fuel Tanks,Rocket fuel tanks,2.5m to Mk2 Adapter,"Large, Mk2",800,432.8,,,2500,,"{""cost"": ""800 (432.8)"", ""liquid_fuel"": ""360"", ""mass_t_empty"": ""0.57"", ""mass_t_full"": ""4.57"", ""max_temp_k"": ""2500"", ""oxidizer"": ""440"", ""radial_size"": ""Large, Mk2"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}","Large, Mk2",800 (432.8),,4.57,0.57,2500,50,,,,,,440,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,7,3,Fuel Tanks,Rocket fuel tanks,Mk3 to Mk2 Adapter,"Mk2, Mk3",2200,1282.0,,,2600,,"{""cost"": ""2200 (1282.0)"", ""liquid_fuel"": ""900"", ""mass_t_empty"": ""1.43"", ""mass_t_full"": ""11.43"", ""max_temp_k"": ""2600"", ""oxidizer"": ""1100"", ""radial_size"": ""Mk2, Mk3"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}","Mk2, Mk3",2200 (1282.0),,11.43,1.43,2600,50,,,,,,1100,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,7,3,Fuel Tanks,Rocket fuel tanks,Mk3 to 2.5m Adapter,"Large, Mk3",2500,1353.0,,,2600,,"{""cost"": ""2500 (1353.0)"", ""liquid_fuel"": ""1125"", ""mass_t_empty"": ""1.79"", ""mass_t_full"": ""14.29"", ""max_temp_k"": ""2600"", ""oxidizer"": ""1375"", ""radial_size"": ""Large, Mk3"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}","Large, Mk3",2500 (1353.0),,14.29,1.79,2600,50,,,,,,1375,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,7,3,Fuel Tanks,Rocket fuel tanks,Mk3 to 2.5m Adapter Slanted,"Large, Mk3",2500,1353.0,,,2600,,"{""cost"": ""2500 (1353.0)"", ""liquid_fuel"": ""1125"", ""mass_t_empty"": ""1.79"", ""mass_t_full"": ""14.29"", ""max_temp_k"": ""2600"", ""oxidizer"": ""1375"", ""radial_size"": ""Large, Mk3"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}","Large, Mk3",2500 (1353.0),,14.29,1.79,2600,50,,,,,,1375,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,7,3,Fuel Tanks,Rocket fuel tanks,Mk3 to 3.75m Adapter,"Extra large, Mk3",2500,1353.0,,,2600,,"{""cost"": ""2500 (1353.0)"", ""liquid_fuel"": ""1125"", ""mass_t_empty"": ""1.79"", ""mass_t_full"": ""14.29"", ""max_temp_k"": ""2600"", ""oxidizer"": ""1375"", ""radial_size"": ""Extra large, Mk3"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}","Extra large, Mk3",2500 (1353.0),,14.29,1.79,2600,50,,,,,,1375,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,7,3,Fuel Tanks,Rocket fuel tanks,Kerbodyne ADTP-2-3,"Large, Extra large",1623,246.0,,,2000,,"{""cost"": ""1623 (246.0)"", ""liquid_fuel"": ""1350"", ""mass_t_empty"": ""1.88"", ""mass_t_full"": ""16.88"", ""max_temp_k"": ""2000"", ""oxidizer"": ""1650"", ""radial_size"": ""Large, Extra large"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""6""}","Large, Extra large",1623 (246.0),,16.88,1.88,2000,50,,,,,,1650,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Parts - Kerbal Space Program Wiki.pdf,8,4,Fuel Tanks,Liquid fuel tanks (Jet fuel fuselages),Mk0 Liquid Fuel Fuselage,Tiny,200,160,,,2000,,"{""cost"": ""200 (160)"", ""liquid_fuel"": ""50"", ""mass_t_empty"": ""0.025"", ""mass_t_full"": ""0.275"", ""max_temp_k"": ""2000"", ""radial_size"": ""Tiny"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""10""}",Tiny,200 (160),,0.275,0.025,2000,50,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
Parts - Kerbal Space Program Wiki.pdf,8,4,Fuel Tanks,Liquid fuel tanks (Jet fuel fuselages),Mk1 Liquid Fuel Fuselage,Small,550,230,,,2000,,"{""cost"": ""550 (230)"", ""liquid_fuel"": ""400"", ""mass_t_empty"": ""0.25"", ""mass_t_full"": ""2.25"", ""max_temp_k"": ""2000"", ""radial_size"": ""Small"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""10""}",Small,550 (230),,2.25,0.25,2000,50,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
Parts - Kerbal Space Program Wiki.pdf,8,4,Fuel Tanks,Liquid fuel tanks (Jet fuel fuselages),Mk2 Liquid Fuel Fuselage Short,Mk2,750,430,,,2500,,"{""cost"": ""750 (430)"", ""liquid_fuel"": ""400"", ""mass_t_empty"": ""0.29"", ""mass_t_full"": ""2.29"", ""max_temp_k"": ""2500"", ""radial_size"": ""Mk2"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}",Mk2,750 (430),,2.29,0.29,2500,50,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,8,4,Fuel Tanks,Liquid fuel tanks (Jet fuel fuselages),Mk2 Liquid Fuel Fuselage,Mk2,1450,810,,,2500,,"{""cost"": ""1450 (810)"", ""liquid_fuel"": ""800"", ""mass_t_empty"": ""0.57"", ""mass_t_full"": ""4.57"", ""max_temp_k"": ""2500"", ""radial_size"": ""Mk2"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}",Mk2,1450 (810),,4.57,0.57,2500,50,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,8,4,Fuel Tanks,Liquid fuel tanks (Jet fuel fuselages),Mk3 Liquid Fuel Fuselage Short,Mk3,4300,2300,,,2700,,"{""cost"": ""4300 (2300)"", ""liquid_fuel"": ""2500"", ""mass_t_empty"": ""1.79"", ""mass_t_full"": ""14.29"", ""max_temp_k"": ""2700"", ""radial_size"": ""Mk3"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}",Mk3,4300 (2300),,14.29,1.79,2700,50,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,8,4,Fuel Tanks,Liquid fuel tanks (Jet fuel fuselages),Mk3 Liquid Fuel Fuselage,Mk3,8600,4600,,,2700,,"{""cost"": ""8600 (4600)"", ""liquid_fuel"": ""5000"", ""mass_t_empty"": ""3.57"", ""mass_t_full"": ""28.57"", ""max_temp_k"": ""2700"", ""radial_size"": ""Mk3"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}",Mk3,8600 (4600),,28.57,3.57,2700,50,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,8,4,Fuel Tanks,Liquid fuel tanks (Jet fuel fuselages),Mk3 Liquid Fuel Fuselage Long,Mk3,17200,9200,,,2700,,"{""cost"": ""17200 (9200)"", ""liquid_fuel"": ""10000"", ""mass_t_empty"": ""7.14"", ""mass_t_full"": ""57.14"", ""max_temp_k"": ""2700"", ""radial_size"": ""Mk3"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}",Mk3,17200 (9200),,57.14,7.14,2700,50,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,8,4,Fuel Tanks,Liquid fuel tanks (Jet fuel fuselages),NCS Adapter,"Small, Tiny",320,256,,,2400,,"{""cost"": ""320 (256)"", ""liquid_fuel"": ""80"", ""mass_t_empty"": ""0.1"", ""mass_t_full"": ""0.5"", ""max_temp_k"": ""2400"", ""radial_size"": ""Small, Tiny"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""10""}","Small, Tiny",320 (256),,0.5,0.1,2400,50,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
Parts - Kerbal Space Program Wiki.pdf,8,5,Fuel Tanks,RCS fuel tanks,FL-R20 RCS Fuel Tank,Tiny,200,176,,,2000,,"{""cost"": ""200 (176)"", ""mass_t_empty"": ""0.02"", ""mass_t_full"": ""0.10"", ""max_temp_k"": ""2000"", ""monopropellant"": ""20"", ""radial_size"": ""Tiny"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""12""}",Tiny,200 (176),,0.10,0.02,2000,50,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
Parts - Kerbal Space Program Wiki.pdf,8,5,Fuel Tanks,RCS fuel tanks,FL-R120 RCS Fuel Tank,Small,330,186,,,2000,,"{""cost"": ""330 (186)"", ""mass_t_empty"": ""0.08"", ""mass_t_full"": ""0.56"", ""max_temp_k"": ""2000"", ""monopropellant"": ""120"", ""radial_size"": ""Small"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""12""}",Small,330 (186),,0.56,0.08,2000,50,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
Parts - Kerbal Space Program Wiki.pdf,8,5,Fuel Tanks,RCS fuel tanks,FL-R750 RCS Fuel Tank,Large,1800,900,,,2000,,"{""cost"": ""1800 (900)"", ""mass_t_empty"": ""0.4"", ""mass_t_full"": ""3.4"", ""max_temp_k"": ""2000"", ""monopropellant"": ""750"", ""radial_size"": ""Large"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""12""}",Large,1800 (900),,3.4,0.4,2000,50,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
Parts - Kerbal Space Program Wiki.pdf,8,5,Fuel Tanks,RCS fuel tanks,Mk2 Monopropellant Tank,Mk2,750,270,,,2500,,"{""cost"": ""750 (270)"", ""mass_t_empty"": ""0.29"", ""mass_t_full"": ""1.89"", ""max_temp_k"": ""2500"", ""monopropellant"": ""400"", ""radial_size"": ""Mk2"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}",Mk2,750 (270),,1.89,0.29,2500,50,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,8,5,Fuel Tanks,RCS fuel tanks,Mk3 Monopropellant Tank,Mk3,5040,2520,,,2700,,"{""cost"": ""5040 (2520)"", ""mass_t_empty"": ""1.4"", ""mass_t_full"": ""9.8"", ""max_temp_k"": ""2700"", ""monopropellant"": ""2100"", ""radial_size"": ""Mk3"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""50""}",Mk3,5040 (2520),,9.8,1.4,2700,50,,,,,,,,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Parts - Kerbal Space Program Wiki.pdf,8,5,Fuel Tanks,RCS fuel tanks,Stratus-V Roundiﬁed Monopropellant Tank,X,200,176,,,2000,,"{""cost"": ""200 (176)"", ""mass_t_empty"": ""0.02"", ""mass_t_full"": ""0.10"", ""max_temp_k"": ""2000"", ""monopropellant"": ""20"", ""radial_size"": ""X"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""12""}",X,200 (176),,0.10,0.02,2000,50,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
Parts - Kerbal Space Program Wiki.pdf,8,5,Fuel Tanks,RCS fuel tanks,Stratus-V Cylindriﬁed Monopropellant Tank,X,250,190,,,2000,,"{""cost"": ""250 (190)"", ""mass_t_empty"": ""0.03"", ""mass_t_full"": ""0.23"", ""max_temp_k"": ""2000"", ""monopropellant"": ""50"", ""radial_size"": ""X"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""12""}",X,250 (190),,0.23,0.03,2000,50,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
Parts - Kerbal Space Program Wiki.pdf,9,6,Fuel Tanks,Xenon tanks,PB-X50R Xenon Container,Radial mounted,2220,600,,,2000,,"{""cost"": ""2220 (600)"", ""mass_t_empty"": ""0.014"", ""mass_t_full"": ""0.054"", ""max_temp_k"": ""2000"", ""radial_size"": ""Radial mounted"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""12"", ""xenon"": ""405""}",Radial mounted,2220 (600),,0.054,0.014,2000,50,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
Parts - Kerbal Space Program Wiki.pdf,9,6,Fuel Tanks,Xenon tanks,PB-X150 Xenon Container,Tiny,3680,800,,,2000,,"{""cost"": ""3680 (800)"", ""mass_t_empty"": ""0.024"", ""mass_t_full"": ""0.100"", ""max_temp_k"": ""2000"", ""radial_size"": ""Tiny"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""6"", ""xenon"": ""720""}",Tiny,3680 (800),,0.100,0.024,2000,50,,,,,,,,,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Parts - Kerbal Space Program Wiki.pdf,9,6,Fuel Tanks,Xenon tanks,PB-X750 Xenon Container,Small,24300,1500,,,2000,,"{""cost"": ""24300 (1500)"", ""mass_t_empty"": ""0.19"", ""mass_t_full"": ""0.76"", ""max_temp_k"": ""2000"", ""radial_size"": ""Small"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""6"", ""xenon"": ""5700""}",Small,24300 (1500),,0.76,0.19,2000,50,,,,,,,,,5700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Parts - Kerbal Space Program Wiki.pdf,9,7,Fuel Tanks,Ore tanks,Radial Holding Tank,Radial mounted,299,300,,,2000,,"{""cost"": ""299 (300)"", ""mass_t_empty"": ""0.125"", ""mass_t_full"": ""0.875"", ""max_temp_k"": ""2000"", ""ore"": ""75"", ""radial_size"": ""Radial mounted"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""7""}",Radial mounted,299 (300),,0.875,0.125,2000,50,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,
Parts - Kerbal Space Program Wiki.pdf,9,7,Fuel Tanks,Ore tanks,Small Holding Tank,Small,994,1000,,,2000,,"{""cost"": ""994 (1000)"", ""mass_t_empty"": ""0.5"", ""mass_t_full"": ""3.5"", ""max_temp_k"": ""2000"", ""ore"": ""300"", ""radial_size"": ""Small"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""7""}",Small,994 (1000),,3.5,0.5,2000,50,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,
Parts - Kerbal Space Program Wiki.pdf,9,7,Fuel Tanks,Ore tanks,Large Holding Tank,Large,2970,3000,,,2000,,"{""cost"": ""2970 (3000)"", ""mass_t_empty"": ""2.0"", ""mass_t_full"": ""17.0"", ""max_temp_k"": ""2000"", ""ore"": ""1500"", ""radial_size"": ""Large"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""7""}",Large,2970 (3000),,17.0,2.0,2000,50,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,
Parts - Kerbal Space Program Wiki.pdf,9,8,Fuel Tanks,Fuel transfer,FTE-1 Drain Valve,Radial mounted,50,,0.01,,2000,,"{""cost"": ""50"", ""mass_t"": ""0.01"", ""max_length_m"": ""-"", ""max_temp_k"": ""2000"", ""radial_size"": ""Radial mounted"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""12""}",Radial mounted,50,0.01,,,2000,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,12,,
Parts - Kerbal Space Program Wiki.pdf,9,8,Fuel Tanks,Fuel transfer,FTX-2 External Fuel Duct,Radial mounted,150,,0.05,,2000,,"{""cost"": ""150"", ""mass_t"": ""0.05"", ""max_length_m"": ""10"", ""max_temp_k"": ""2000"", ""radial_size"": ""Radial mounted"", ""tolerance_g"": ""50"", ""tolerance_m_per_s"": ""12""}",Radial mounted,150,0.05,,,2000,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,12,,
